"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"International Church of the Foursquare Gospel","Evangelical Protestant","Pentecostal Family","3","129","0.11"
"International Council of Community Churches","Mainline Protestant","Presbyterian/Reformed Family","1","",""
"International Fellowship of Christian Assemblies","Evangelical Protestant","Pentecostal Family","1","",""
"International Pentecostal Holiness Church","Evangelical Protestant","Pentecostal Family","1","36","0.03"
"Jain","Other","Other Groups Family","1","",""
"Jehovah's Witnesses","Other","Adventist Family","14","",""
"Korean Presbyterian Church Abroad","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Korean Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Korean-American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Lutheran Church-Missouri Synod (LCMS)","Evangelical Protestant","Lutheran Family","33","21,616","17.98"
"Macedonian Orthodox Church: American Diocese","Orthodox","Eastern Liturgical (Orthodox) Family","1","300","0.25"
"Malankara Archdiocese of the Syrian Orthodox Church in North America","Orthodox","Eastern Liturgical (Orthodox) Family","1","144","0.12"
"Malankara Orthodox Syrian Church","Orthodox","Eastern Liturgical (Orthodox) Family","2","495","0.41"
"Missionary Church, The","Evangelical Protestant","Holiness Family","4","331","0.28"
"Muslim Estimate","Islam","Islam Family","6","9,378","7.80"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","7","2,216","1.84"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","6","736","0.61"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","1","4","0.00"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","13","6,554","5.45"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","4","8,254","6.86"
"National Organization of the New Apostolic Church of North America","Other","Other Groups Family","1","",""
"National Spiritualist Association of Churches","Other","Spiritualist Family","2","",""
"Non-denominational","Evangelical Protestant","Other Groups Family","72","91,287","75.92"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","2","257","0.21"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","1","105","0.09"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","4","1,565","1.30"
"Orthodox Judaism","Judaism","Judaism Family","20","12,350","10.27"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","2","251","0.21"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","29","12,909","10.74"
"Reconstructionist Judaism","Judaism","Judaism Family","1","100","0.08"
"Reform Judaism","Judaism","Judaism Family","6","17,831","14.83"
"Reformed Presbyterian Church of North America (Covenanters)","Evangelical Protestant","Presbyterian/Reformed Family","1","64","0.05"
"Romanian Orthodox Archdiocese in the Americas","Orthodox","Eastern Liturgical (Orthodox) Family","1","400","0.33"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","1","120","0.10"
"Salvation Army","Evangelical Protestant","Holiness Family","3","2,174","1.81"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","1","550","0.46"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","11","1,968","1.64"
"Sikh","Other","Other Groups Family","3","",""
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","38","9,109","7.58"
"Swedenborgian Church","Other","Spiritualist Family","1","",""
"Syrian Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,000","0.83"
"Ukrainian Orthodox Church of the U.S.A.","Orthodox","Eastern Liturgical (Orthodox) Family","1","500","0.42"
"Unitarian Universalist Association","Other","Liberal Family","6","1,289","1.07"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ) Family","8","1,736","1.44"
"United Methodist Church","Mainline Protestant","Methodist Family","51","34,739","28.89"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal Family","6","",""
"Unity Churches, Association of","Other","Other Groups Family","8","",""
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups Family","2","212","0.18"
"Wesleyan Church","Evangelical Protestant","Holiness Family","2","685","0.57"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran Family","3","703","0.58"
" "," "," ","717.0","607,575.0"," "
